File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.core.JsonFactory,"('JsonFactory()',)",278,278,0.0602475233128778
com.fasterxml.jackson.core.JsonFactory,"('JsonFactory(com.fasterxml.jackson.core.ObjectCodec)',)",191,280,0.0602475233128778
com.fasterxml.jackson.core.JsonFactory,"('<clinit>()',)",164,178,0.0602475233128778
com.fasterxml.jackson.core.util.DefaultPrettyPrinter,"('<clinit>()',)",28,28,0.0602475233128778
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,"('CharsToNameCanonicalizer(int)',)",232,246,0.0602475233128778
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,"('createRoot()',)",293,296,0.0602475233128778
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,"('createRoot(int)',)",300,300,0.0602475233128778
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,"('ByteQuadsCanonicalizer(int,boolean,int,boolean)',)",222,242,0.0602475233128778
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,"('createRoot()',)",287,290,0.0602475233128778
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,"('createRoot(int)',)",296,296,0.0602475233128778
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,"('_calcTertiaryShift(int)',)",1191,1204,0.0602475233128778
com.fasterxml.jackson.core.io.SerializedString,"('SerializedString(java.lang.String)',)",50,55,0.06013847793242637
com.fasterxml.jackson.core.JsonFactory,"('JsonFactory(com.fasterxml.jackson.core.JsonFactory,com.fasterxml.jackson.core.ObjectCodec)',)",191,302,0
com.fasterxml.jackson.core.JsonFactory,"('copy()',)",320,322,0
com.fasterxml.jackson.core.JsonFactory,"('_checkInvalidCopy(java.lang.Class)',)",331,335,0
com.fasterxml.jackson.core.JsonFactory,"('readResolve()',)",349,349,0
com.fasterxml.jackson.core.JsonFactory,"('requiresPropertyOrdering()',)",373,373,0
com.fasterxml.jackson.core.JsonFactory,"('canHandleBinaryNatively()',)",387,387,0
com.fasterxml.jackson.core.JsonFactory,"('canUseCharArrays()',)",401,401,0
com.fasterxml.jackson.core.JsonFactory,"('canParseAsync()',)",414,414,0
com.fasterxml.jackson.core.JsonFactory,"('getFormatReadFeatureType()',)",425,425,0
com.fasterxml.jackson.core.JsonFactory,"('getFormatWriteFeatureType()',)",436,436,0
com.fasterxml.jackson.core.JsonFactory,"('canUseSchema(com.fasterxml.jackson.core.FormatSchema)',)",455,459,0
com.fasterxml.jackson.core.JsonFactory,"('getFormatName()',)",475,478,0
com.fasterxml.jackson.core.JsonFactory,"('hasFormat(com.fasterxml.jackson.core.format.InputAccessor)',)",488,491,0
com.fasterxml.jackson.core.JsonFactory,"('requiresCustomCodec()',)",508,508,0
com.fasterxml.jackson.core.JsonFactory,"('hasJSONFormat(com.fasterxml.jackson.core.format.InputAccessor)',)",517,517,0
com.fasterxml.jackson.core.JsonFactory,"('version()',)",528,528,0
com.fasterxml.jackson.core.JsonFactory,"('configure(com.fasterxml.jackson.core.JsonFactory$Feature,boolean)',)",542,542,0
com.fasterxml.jackson.core.JsonFactory,"('enable(com.fasterxml.jackson.core.JsonFactory$Feature)',)",550,551,0
com.fasterxml.jackson.core.JsonFactory,"('disable(com.fasterxml.jackson.core.JsonFactory$Feature)',)",559,560,0
com.fasterxml.jackson.core.JsonFactory,"('isEnabled(com.fasterxml.jackson.core.JsonFactory$Feature)',)",567,567,0
com.fasterxml.jackson.core.JsonFactory,"('configure(com.fasterxml.jackson.core.JsonParser$Feature,boolean)',)",581,581,0
com.fasterxml.jackson.core.JsonFactory,"('enable(com.fasterxml.jackson.core.JsonParser$Feature)',)",589,590,0
com.fasterxml.jackson.core.JsonFactory,"('disable(com.fasterxml.jackson.core.JsonParser$Feature)',)",598,599,0
com.fasterxml.jackson.core.JsonFactory,"('isEnabled(com.fasterxml.jackson.core.JsonParser$Feature)',)",606,606,0
com.fasterxml.jackson.core.JsonFactory,"('getInputDecorator()',)",614,614,0
com.fasterxml.jackson.core.JsonFactory,"('setInputDecorator(com.fasterxml.jackson.core.io.InputDecorator)',)",621,622,0
com.fasterxml.jackson.core.JsonFactory,"('configure(com.fasterxml.jackson.core.JsonGenerator$Feature,boolean)',)",636,636,0
com.fasterxml.jackson.core.JsonFactory,"('enable(com.fasterxml.jackson.core.JsonGenerator$Feature)',)",645,646,0
com.fasterxml.jackson.core.JsonFactory,"('disable(com.fasterxml.jackson.core.JsonGenerator$Feature)',)",654,655,0
com.fasterxml.jackson.core.JsonFactory,"('isEnabled(com.fasterxml.jackson.core.JsonGenerator$Feature)',)",662,662,0
com.fasterxml.jackson.core.JsonFactory,"('getCharacterEscapes()',)",669,669,0
com.fasterxml.jackson.core.JsonFactory,"('setCharacterEscapes(com.fasterxml.jackson.core.io.CharacterEscapes)',)",676,677,0
com.fasterxml.jackson.core.JsonFactory,"('getOutputDecorator()',)",685,685,0
com.fasterxml.jackson.core.JsonFactory,"('setOutputDecorator(com.fasterxml.jackson.core.io.OutputDecorator)',)",692,693,0
com.fasterxml.jackson.core.JsonFactory,"('setRootValueSeparator(java.lang.String)',)",706,707,0
com.fasterxml.jackson.core.JsonFactory,"('getRootValueSeparator()',)",714,714,0
com.fasterxml.jackson.core.JsonFactory,"('setCodec(com.fasterxml.jackson.core.ObjectCodec)',)",731,732,0
com.fasterxml.jackson.core.JsonFactory,"('getCodec()',)",735,735,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(java.io.File)',)",765,767,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(java.net.URL)',)",792,794,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(java.io.InputStream)',)",819,820,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(java.io.Reader)',)",839,840,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(byte[])',)",850,857,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(byte[],int,int)',)",871,879,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(java.lang.String)',)",889,899,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(char[])',)",909,909,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(char[],int,int)',)",918,921,0
com.fasterxml.jackson.core.JsonFactory,"('createParser(java.io.DataInput)',)",936,937,0
com.fasterxml.jackson.core.JsonFactory,"('createNonBlockingByteArrayParser()',)",962,965,0
com.fasterxml.jackson.core.JsonFactory,"('createJsonParser(java.io.File)',)",995,995,0
com.fasterxml.jackson.core.JsonFactory,"('createJsonParser(java.net.URL)',)",1020,1020,0
com.fasterxml.jackson.core.JsonFactory,"('createJsonParser(java.io.InputStream)',)",1046,1046,0
com.fasterxml.jackson.core.JsonFactory,"('createJsonParser(java.io.Reader)',)",1065,1065,0
com.fasterxml.jackson.core.JsonFactory,"('createJsonParser(byte[])',)",1075,1075,0
com.fasterxml.jackson.core.JsonFactory,"('createJsonParser(byte[],int,int)',)",1090,1090,0
com.fasterxml.jackson.core.JsonFactory,"('createJsonParser(java.lang.String)',)",1101,1101,0
